30/08/2021 15:01:57 [WARNI]  LOGIN_BHXH: THÀNH CÔNG
31/08/2021 09:12:44 [WARNI]  BẮT ĐẦU CHẠY
31/08/2021 09:12:44 [WARNI]  CHẠY QUY TRÌNH KÊ KHAI
31/08/2021 09:12:44 [WARNI]  BACKUP
31/08/2021 09:12:45 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
31/08/2021 09:12:45 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
31/08/2021 09:12:46 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:12:46 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:12:46 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:12:46 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:12:46 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
31/08/2021 09:12:47 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:12:47 [WARNI]  CHẠY QUY TRÌNH QUÉT KẾT QUẢ
31/08/2021 09:12:47 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
31/08/2021 09:12:47 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
31/08/2021 09:12:48 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:12:48 [WARNI]  Số lượng hồ sơ cần quét kết quả: 0
31/08/2021 09:12:48 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:12:48 [WARNI]  Số lượng hồ sơ cần quét kết quả: 0
31/08/2021 09:12:48 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
31/08/2021 09:12:49 [WARNI]  Số lượng hồ sơ cần quét kết quả: 11
31/08/2021 09:13:07 [WARNI]  BẮT ĐẦU CHẠY
31/08/2021 09:13:07 [WARNI]  CHẠY QUY TRÌNH KÊ KHAI
31/08/2021 09:13:07 [WARNI]  BACKUP
31/08/2021 09:13:08 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
31/08/2021 09:13:08 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
31/08/2021 09:13:08 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:13:08 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:13:09 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:13:09 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:13:09 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
31/08/2021 09:13:09 [WARNI]  EMPLOYEE_TERRA: LẤY THÔNG TIN NHÂN VIÊN - Phạm Nguyễn Tường Vy
31/08/2021 09:13:10 [WARNI]  Số lượng hồ sơ cần kê khai: 1
31/08/2021 09:13:41 [WARNI]  LOGIN_BHXH: THÀNH CÔNG
31/08/2021 09:19:06 [WARNI]  BẮT ĐẦU CHẠY
31/08/2021 09:19:06 [WARNI]  CHẠY QUY TRÌNH KÊ KHAI
31/08/2021 09:19:06 [WARNI]  BACKUP
31/08/2021 09:19:06 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
31/08/2021 09:19:07 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
31/08/2021 09:19:07 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:19:07 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:19:07 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:19:08 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:19:08 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
31/08/2021 09:19:08 [WARNI]  EMPLOYEE_TERRA: LẤY THÔNG TIN NHÂN VIÊN - Phạm Nguyễn Tường Vy
31/08/2021 09:19:08 [WARNI]  Số lượng hồ sơ cần kê khai: 1
31/08/2021 09:19:41 [WARNI]  LOGIN_BHXH: THÀNH CÔNG
31/08/2021 09:36:33 [WARNI]  BẮT ĐẦU CHẠY
31/08/2021 09:36:33 [WARNI]  CHẠY QUY TRÌNH KÊ KHAI
31/08/2021 09:36:33 [WARNI]  BACKUP
31/08/2021 09:36:34 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
31/08/2021 09:36:34 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
31/08/2021 09:36:34 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:36:35 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:36:35 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:36:35 [WARNI]  Số lượng hồ sơ cần kê khai: 0
31/08/2021 09:36:35 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
31/08/2021 09:36:36 [WARNI]  EMPLOYEE_TERRA: LẤY THÔNG TIN NHÂN VIÊN - Phạm Nguyễn Tường Vy
31/08/2021 09:36:36 [WARNI]  Số lượng hồ sơ cần kê khai: 1
31/08/2021 09:37:08 [WARNI]  LOGIN_BHXH: THÀNH CÔNG
31/08/2021 09:38:00 [WARNI]  Message: no such element: Unable to locate element: {"method":"xpath","selector":"//*[@class="mat-expansion-panel-content ng-trigger ng-trigger-bodyExpansion mat-expanded"]/div/div/table/tbody/tr[3]/td[11]/bhxh-input/div/div/div/div/mat-form-field/div/div[1]/div[1]/mat-select"}
  (Session info: chrome=92.0.4515.159)

31/08/2021 09:38:00 [ERROR]  HỒ SƠ BỊ LỖI
31/08/2021 09:38:02 [WARNI]  CHẠY QUY TRÌNH QUÉT KẾT QUẢ
31/08/2021 09:38:03 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
31/08/2021 09:38:03 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
31/08/2021 09:38:03 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:38:04 [WARNI]  Số lượng hồ sơ cần quét kết quả: 0
31/08/2021 09:38:04 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
31/08/2021 09:38:04 [WARNI]  Số lượng hồ sơ cần quét kết quả: 0
